x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
-11,-4,5,0,,1,8,20,0
0,-27,57,0,,-10,-25,32,0
-8,16,-8,0,,-4,-46,62,0
-6,-51,54,0,,-4,27,-7,0
-2,28,12,0,,-6,-48,65,0
-10,-39,39,0,,0,-13,42,0
0,-56,73,61,,-7,-1,9,0
-7,39,-18,113,,0,-26,54,0
-1,-62,74,172,,-1,27,0,51
-6,40,-13,254,,-8,-48,51,106
-5,-62,64,325,,0,20,12,156
-2,32,-3,366,,-2,25,-9,229
-7,-52,54,374,,-3,-55,69,305
0,,,,,-1,34,-15,363
,22,8,379,,-5,-63,69,374
-8,28,-12,369,,0,37,-13,378
0,-53,68,369,,-5,-56,62,375
-3,30,-16,318,,-2,31,0,370
-2,-53,70,242,,-5,-50,47,331
-2,34,-12,161,,-2,18,15,254
-5,-54,63,90,,-3,-30,33,174
-1,28,-3,14,,-3,0,32,11
-5,-48,57,0,,2,,,
1,-32,50,0,,-4,41,-20,28
-4,12,2,0,,-1,-62,71,0
-1,-38,56,0,,-3,34,-13,0
0,7,12,0,,-2,-52,63,0
-5,-29,37,0,,-1,-31,59,0
-4,-42,57,0,,-4,12,-9,0
0,16,-6,0,,-4,-35,31,0
-6,-17,22,0,,-4,-35,31,0
0,-11,39,0,,2,-55,72,0
-4,-6,5,0,,-2,3,35,0
-3,-50,52,0,,-6,40,-12,0
-1,26,3,0,,1,-65,62,0
-4,15,-8,0,,-6,41,-6,0
0,-43,68,0,,-7,17,-8,0
-4,32,-15,0,,2,-48,71,0
-4,-36,33,14,,-5,29,10,0
-2,4,28,85,,-5,-37,37,0
-5,-18,19,130,,3,-67,79,30
0,-14,48,188,,-8,50,-24,103
-5,1,0,259,,0,-69,77,142
-2,-65,66,325,,-9,47,-14,218
-5,38,-4,367,,0,-61,63,290
-6,-55,51,376,,-8,32,1,344
,,,,,-4,-48,45,369
-3,24,14,379,,-5,16,20,379
-6,-32,32,374,,-9,41,-21,376
-3,-2,35,366,,1,-61,73,373
-7,-7,8,315,,-9,40,-15,349
-2,-64,73,237,,-1,-56,66,273
-5,43,-11,153,,-7,35,-4,196
-5,-54,62,82,,-4,-48,56,123
-6,29,6,12,,-6,24,9,51
-5,-41,40,0,,-6,-38,43,0
0,-54,74,0,,1,-38,,
-8,37,-17,0,,59,0,,
0,-57,74,0,,-9,19,0,0
-3,-6,41,0,,-7,-28,35,0
-8,-8,8,0,,-2,4,27,0
-2,-60,66,0,,-10,-22,28,0
-6,36,-5,0,,-2,-43,56,0
-6,-51,56,0,,-5,20,0,0
2,-37,66,0,,-5,-42,56,0
-10,24,-13,0,,2,-11,40,0
1,-50,72,0,,-10,-4,14,0
-2,14,25,0,,1,-24,47,0
-8,-24,26,0,,-1,22,3,0
0,-2,40,0,,-8,-40,52,0
-8,41,-14,0,,0,-32,59,0
-3,-61,68,39,,-5,17,-4,0
-5,38,-5,102,,-3,-44,65,0
-6,-55,60,148,,1,11,21,49
-3,29,5,217,,-7,-30,30,106
-8,23,-13,296,,0,-2,36,153
2,-54,69,348,,-7,-11,13,233
-7,33,-14,368,,-6,-62,66,307
-2,-59,,,,0,35,-8,360
,70,381,,,-7,-58,57,370
-4,37,-13,373,,0,25,5,379
-3,-58,65,369,,-8,-40,39,374
-2,32,-6,332,,-1,7,24,369
-7,-51,58,257,,-1,40,-25,349
0,25,3,198,,0,-14,46,276
-8,-42,47,118,,-3,47,-19,192
2,14,16,53,,-5,-63,68,12
-5,24,-9,0,,0,,,
-1,-52,63,0,,-2,36,-6,37
2,-2,26,0,,-3,-51,53,0
-7,-15,23,0,,-2,4,25,0
2,-16,36,0,,-3,29,-16,0
0,22,-4,0,,-3,29,-16,0
-6,-46,54,0,,-2,-18,25,0
0,-30,45,0,,-2,-18,25,0
-6,8,1,0,,-2,-12,41,0
-6,-36,43,0,,-8,-8,2,0
1,9,17,0,,0,-53,59,0
-5,19,-8,0,,-7,27,0,0
-2,-49,63,0,,-4,16,-6,0
-2,32,-13,0,,-7,-53,62,0
-6,-16,17,0,,-8,37,-18,0
0,-13,46,0,,-5,-29,27,0
-6,0,4,0,,-1,-2,38,0
-3,-59,61,33,,-6,-5,10,0
-3,33,-4,101,,0,-67,70,9
-5,-53,54,149,,-8,43,-11,87
-3,26,10,221,,-3,-59,58,128
-4,32,-18,302,,-6,30,9,183
-1,-62,76,354,,-8,38,-19,267
-3,43,-23,374,,2,-65,79,329
-2,-,,,,-8,46,-23,368
69,76,380,,,0,-69,76,378
-5,49,-16,375,,-7,47,-16,379
-5,-64,67,370,,-1,-62,66,374
-4,37,-5,329,,-8,35,-3,361
-5,-48,51,252,,-4,-48,51,295
-4,21,16,174,,-5,21,14,218
-7,-30,32,98,,-7,-31,38,146
-2,0,36,37,,-4,,,
-6,-10,10,0,,,7,29,76
-1,-63,72,0,,-11,31,-9,0
-7,41,-8,0,,0,-50,62,0
-5,-56,60,0,,0,-10,40,0
-1,-39,67,0,,-8,-6,17,0
-7,24,-16,0,,-1,-18,46,0
1,-54,75,0,,-7,21,4,0
-3,15,20,0,,-5,-43,49,0
-8,-27,28,0,,-2,15,10,0
-1,-1,39,0,,-9,6,7,0
-8,41,-16,0,,-7,-34,44,0
-2,-61,69,0,,-1,13,14,0
-8,41,-8,0,,-9,-31,37,0
-9,9,-4,0,,1,7,20,0
2,-37,65,0,,-6,18,-3,0
-4,33,3,0,,-9,-24,34,0
-8,-47,48,16,,0,2,29,0
-9,-32,33,135,,-1,26,-8,0
1,-59,75,152,,-5,-50,64,0
0,1,32,189,,-1,30,-8,69
-6,40,-17,271,,-8,-7,11,114
-2,-63,70,338,,0,-25,56,171
-4,38,-8,368,,-5,11,-6,247
-6,-58,61,,,0,-47,65,315
