x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4
12,-22,33,17,,-38,-13,12,0
14,-21,34,17,,-30,43,-11,60
13,-20,35,18,,-35,6,22,113
12,-19,33,18,,-30,41,13,159
9,-17,32,17,,-36,27,19,230
7,-18,31,18,,-29,27,32,309
8,-16,30,17,,-36,41,24,360
7,-15,30,17,,-21,19,62,367
6,-14,31,17,,-10,18,59,364
0,-11,27,17,,-10,18,59,363
-2,-12,26,17,,-17,53,38,355
-2,-12,26,17,,2,20,76,310
0,-11,27,17,,4,40,50,243
-6,-11,26,17,,0,27,69,177
-4,-11,26,17,,18,25,56,116
-6,-10,29,17,,11,4,72,41
-5,-9,26,17,,26,-7,92,0
-4,-7,26,17,,35,12,54,0
-3,-8,21,17,,31,-7,74,0
-5,-6,25,17,,51,-6,90,0
-7,-6,24,17,,50,9,60,0
-8,-6,23,17,,41,-41,95,0
-7,-6,24,1,,53,5,58,0
7,,,,,44,-2,44,0
-8,-5,22,17,,48,-48,94,0
-7,-4,23,17,,52,-7,63,0
-10,-3,23,18,,30,-34,49,0
-13,-3,22,17,,39,-32,66,0
-11,-3,22,17,,30,16,23,0
-10,-2,21,18,,20,-,,
-11,-1,22,17,,65,70,0,
-12,-1,21,17,,22,-10,21,0
-13,-2,20,18,,12,-11,9,0
-12,-2,21,17,,14,-88,69,0
-10,-1,22,18,,10,-5,-6,67
-10,-1,23,18,,13,-66,33,116
-11,-2,22,17,,19,-63,40,184
-10,-2,21,17,,12,-52,14,266
-10,-3,22,17,,21,-87,43,333
-9,-3,23,17,,16,-32,0,366
-8,-3,24,17,,18,-96,51,378
-8,-4,24,17,,4,-8,-15,380
-8,-4,24,17,,17,-85,44,373
-7,-4,24,17,,3,-5,-19,361
-5,-5,24,17,,13,-71,45,293
-4,-6,25,17,,2,0,-22,221
-3,-5,26,17,,9,-66,33,151
-3,-5,26,17,,4,-4,-17,77
-2,-7,27,17,,2,-11,-16,0
0,-8,25,17,,18,-38,37,0
2,-9,27,17,,2,10,-15,0
4,-9,28,17,,0,-32,22,0
5,-10,28,17,,-5,10,1,0
6,-13,30,17,,-16,25,-28,0
6,-13,30,17,,-19,-37,27,0
,,,,,-31,32,-35,0
8,-16,31,18,,-42,-39,11,0
10,-18,32,17,,-42,32,-42,0
13,-19,35,17,,-47,-33,-6,0
14,-20,35,17,,-37,-21,-1,0
13,-20,35,17,,-42,28,-42,
13,-21,35,17,,,0,,
14,-23,36,17,,-31,-25,13,0
16,-22,36,17,,-31,44,-35,0
15,-21,37,18,,-31,-17,21,1
14,-21,37,17,,-32,55,-17,88
13,-21,35,17,,-30,-6,36,127
14,-22,35,18,,-31,60,-1,187
16,-21,36,17,,-32,7,36,260
16,-20,36,17,,-33,47,19,330
14,-22,36,17,,-33,23,38,361
13,-22,34,17,,-23,3,57,369
14,-22,33,17,,-26,65,19,368
15,-21,35,17,,-15,10,67,363
14,-20,34,17,,-17,57,32,346
12,-20,32,17,,-2,17,74,286
9,-19,32,18,,1,48,42,218
9,-17,31,17,,5,17,80,157
9,-17,31,17,,17,28,48,88
9,-15,32,18,,11,22,51,15
6,-13,29,17,,34,-7,89,0
3,-13,29,17,,32,10,57,0
2,-13,27,17,,35,-14,87,0
2,-12,28,17,,50,0,76,0
3,-10,30,18,,43,4,54,0
2,-10,27,17,,48,-42,100,0
-1,-10,,,,51,10,45,0
27,18,,,,41,-19,55,0
-3,-9,25,18,,50,-32,86,0
-3,-9,25,17,,34,-6,31,0
-3,-8,27,17,,3,,,
-3,-7,27,17,,2,-57,65,0
-4,-7,25,17,,35,-2,45,0
-7,-6,24,17,,9,-46,48,0
-7,-6,24,18,,30,-69,84,0
-8,-6,24,17,,20,5,0,0
-7,-5,25,18,,11,-41,26,0
-7,-4,24,17,,16,-62,53,26
-9,-3,23,17,,8,-28,7,89
-11,-3,23,18,,15,-98,57,130
-11,-3,22,17,,17,-28,14,211
-11,-2,22,17,,15,-89,36,291
-10,-2,24,17,,16,-52,22,352
-11,-1,22,17,,17,-62,18,372
-12,-2,22,17,,16,-70,36,382
-13,-2,21,17,,4,-24,-5,377
-11,-2,21,18,,16,-75,38,374
-10,-1,23,17,,3,-7,-19,342
-10,-2,23,17,,16,-71,47,264
-11,-2,23,17,,2,2,-30,190
-11,-2,22,17,,14,-68,42,116
-11,-3,21,17,,2,2,-27,42
-9,-2,24,17,,2,-29,1,0
-9,-3,24,17,,15,-20,24,0
-9,-4,24,18,,7,18,-17,0
-9,-4,24,18,,5,-44,36,0
-8,-5,25,17,,-10,25,-17,0
-5,-5,24,18,,-22,-34,16,0
-5,-4,24,18,,-20,-24,23,0
-4,-5,26,17,,-39,22,-35,0
-4,-5,25,18,,-38,-33,10,0
,,,,,-46,29,-46,0
,,,,,-40,-37,0,0
-3,-6,25,18,,-38,38,-43,0
-2,-7,26,18,,-45,,,
1,-9,26,17,,,9,-28,0
3,-9,28,18,,-29,-7,5,0
4,-10,28,17,,-39,32,-25,0
4,-12,30,18,,-28,-8,18,12
