x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4,sep,x Desb 5,y Desb 5,z Desb 5,i Desb 5
4,-18,31,17,,19,-65,32,103,,19,-14,47,0
4,-18,31,17,,12,-56,24,166,,8,-11,16,0
9,-17,33,17,,23,-73,33,241,,19,-53,57,0
9,-17,33,17,,12,-49,14,322,,13,16,12,0
6,-16,31,17,,18,-76,35,361,,14,-50,49,0
0,-17,26,17,,8,-35,1,376,,24,-43,59,0
0,-13,26,17,,6,-55,19,382,,8,11,2,0
0,-14,27,17,,11,-37,12,374,,11,-39,36,0
0,-13,28,17,,5,-41,8,369,,17,-7,30,0
-1,-12,28,17,,11,-43,20,329,,7,-27,23,0
-4,-11,27,17,,3,-24,-9,245,,17,-54,57,0
-5,-10,28,16,,9,-50,26,180,,10,13,5,0
-6,-10,26,17,,3,-8,-13,100,,6,-15,16,0
-7,-9,26,17,,8,-47,25,27,,19,-32,42,0
-7,-8,26,17,,11,3,0,0,,3,-11,9,50
-9,-7,26,17,,7,17,-17,0,,11,-48,43,109
-10,-7,25,17,,8,-43,41,0,,13,-1,15,162
-10,-7,25,17,,-12,28,-24,0,,6,-41,39,228
-11,-5,25,18,,-24,-6,-5,0,,13,-5,16,305
-10,-5,26,18,,-25,-8,8,0,,2,-39,34,3
-11,-4,23,17,,-40,5,-27,0,,54,,,
,,,,,-42,-37,11,0,,13,-5,20,368
-12,-3,24,18,,-42,25,-36,0,,-3,-27,29,378
-12,-4,24,18,,-48,-26,-9,0,,10,-7,27,373
-12,-2,23,17,,-39,17,-29,0,,1,17,-5,367
-12,-3,24,18,,-41,-8,-14,0,,-2,-50,53,339
-12,-1,23,17,,-33,13,-8,,,0,24,-3,269
-12,-2,22,17,,,0,,,,-8,-46,56,195
-13,0,21,18,,-30,40,-34,0,,-2,25,-1,124
-12,0,21,18,,-32,-12,16,0,,-15,-44,42,40
-11,0,24,18,,-31,46,-14,38,,-4,14,15,0
-11,0,23,17,,-29,2,28,98,,-10,30,-19,0
-10,0,23,17,,-33,49,6,138,,-10,-56,70,0
-10,0,23,17,,-33,17,30,195,,-11,43,-20,0
-8,-1,22,17,,-31,42,21,281,,-13,-60,64,0
-7,-2,25,17,,-35,27,37,345,,-12,44,-7,0
-6,-2,24,17,,-24,37,32,364,,-14,24,-13,0
-6,-2,23,17,,-29,35,43,368,,-10,-45,69,0
-4,-4,24,18,,-10,33,49,364,,-15,50,-23,0
-3,-4,24,17,,-17,39,48,358,,-10,-56,74,0
-2,-4,25,17,,4,29,66,340,,-15,57,-21,0
0,-5,25,17,,2,50,41,273,,-12,-51,69,0
0,-6,26,17,,4,13,79,207,,-14,-18,59,0
0,-7,27,17,,17,36,47,149,,-12,32,-12,0
2,-7,26,17,,15,-7,83,67,,-10,-36,72,0
4,-8,27,17,,29,-8,93,3,,-13,44,-19,73
5,-9,29,17,,33,15,52,0,,-5,-50,70,118
6,-9,28,17,,43,-28,104,0,,-11,51,-12,190
6,-10,29,17,,52,3,80,0,,0,-47,65,265
8,-12,29,17,,39,-21,74,0,,-13,40,0,336
9,-14,30,18,,53,-22,83,0,,1,-,,
11,-15,,,,51,9,50,0,,40,50,362,
,31,18,,,41,-49,84,0,,-6,24,14,376
13,-16,34,18,,51,-42,85,0,,7,-22,40,377
12,-16,33,18,,38,4,37,0,,7,-32,62,369
13,-18,33,17,,36,-59,78,0,,-3,25,1,368
15,-20,34,18,,37,,,,,11,-38,58,319
16,-20,36,18,,-22,53,0,,,0,25,3,245
16,-20,36,18,,12,-33,37,0,,16,-39,61,174
15,-20,35,18,,27,-45,58,0,,10,-10,48,93
15,-21,35,17,,10,-22,24,0,,5,-6,17,30
14,-21,34,17,,11,-72,61,0,,17,-25,50,0
15,-21,36,17,,19,-20,11,1,,8,0,13,0
14,-21,36,18,,14,-80,45,73,,17,-44,53,0
12,-21,34,17,,18,-49,21,116,,13,12,20,0
13,-22,34,17,,8,-64,32,184,,7,7,5,0
13,-22,34,17,,17,-90,45,262,,23,-49,62,0
14,-21,34,17,,15,-44,8,336,,17,2,26,0
13,-21,32,17,,19,-79,34,365,,11,-36,35,0
11,-20,33,17,,16,-37,9,379,,21,-54,65,0
10,-20,32,17,,10,-60,29,381,,11,21,0,0
10,-20,32,17,,8,-32,6,373,,15,-58,56,0
10,-19,32,18,,4,-48,11,366,,20,-28,44,0
7,-17,32,17,,9,-30,9,318,,7,-6,10,0
5,-16,31,17,,4,-12,-15,230,,12,-51,52,0
3,-16,29,17,,9,-65,34,164,,13,8,13,0
3,-15,30,17,,4,0,-21,90,,8,-45,40,0
2,-14,29,18,,11,-50,32,16,,17,-47,51,0
0,-13,29,17,,11,13,-10,0,,7,4,3,40
-1,-12,28,17,,3,-2,-3,0,,8,-37,31,100
-3,-12,27,17,,1,-29,32,0,,16,-15,28,153
-5,-11,26,18,,-9,20,-10,0,,5,-29,24,217
-5,-9,26,,,-23,-24,7,0,,14,-20,28,301
,17,,,,-24,11,-7,0,,3,-22,22,3
-5,-9,28,17,,-44,-14,-7,0,,55,,,
-6,-9,27,18,,-41,-33,15,0,,12,-22,34,369
-8,-8,24,17,,-43,30,-47,0,,-2,-11,14,378
-9,-8,25,17,,-43,-33,-2,0,,9,-24,40,372
-8,-6,25,17,,,,,,,-4,-1,4,367
-8,-6,25,17,,,,,,,-4,-41,44,338
-9,-5,25,17,,-38,32,-40,0,,1,14,9,276
-10,-4,24,18,,-41,-19,1,0,,-8,-34,39,196
-12,-4,23,17,,-33,28,-25,0,,-1,9,15,134
-10,-3,23,18,,-34,32,-32,0,,-14,-26,26,48
-10,-3,23,17,,-32,-8,17,0,,-5,-3,31,0
-11,-2,23,17,,-33,48,-13,61,,-9,32,-16,0
-12,-1,23,17,,-26,-2,35,115,,-11,-54,63,0
-14,-1,22,17,,-35,56,-4,168,,-10,37,-8,0
-12,-1,21,17,,-26,8,38,230,,-13,13,-8,0
-11,-1,22,17,,-34,51,16,310,,-9,-40,65,0
-11,0,23,17,,-30,17,47,355,,-14,37,-21,0
-11,0,23,17,,-25,47,23,368,,-9,-53,70,0
-11,-1,22,18,,-24,26,56,370,,-12,7,35,0
-10,0,22,17,,-11,41,43,363,,-16,6,5,0
-9,-1,23,17,,-15,33,58,355,,-10,-52,64,0
-7,-2,23,17,,3,38,55,316,,-18,48,-6,0
-8,-1,24,17,,-2,48,40,236,,-13,-38,48,0
-7,-2,23,18,,9,12,85,181,,-19,34,16,0
-6,-4,24,17,,15,36,42,108,,-11,-20,29,0
