x 2fases 1,y 2fases 1,z 2fases 1,i 2fases 1,,x 2fases 5,y 2fases 5,z 2fases 5,i 2fases 5
-5,16,28,530,,-12,1,56,0
-2,9,35,560,,-9,28,30,0
-5,28,29,522,,-4,10,30,0
-8,20,35,458,,-12,-15,47,0
-1,18,26,378,,2,9,10,0
-8,3,32,324,,-4,-33,38,0
3,-10,21,272,,-3,-28,29,25
-2,-23,25,134,,11,-32,17,134
9,-34,21,12,,3,-48,32,241
12,-39,23,0,,13,-32,19,314
4,-45,28,0,,2,-39,34,384
13,-39,20,0,,11,-9,25,414
12,-37,22,0,,1,-16,36,468
6,-28,35,0,,0,18,31,530
7,-11,16,0,,4,33,9,569
1,-21,42,0,,-7,-5,58,550
0,26,24,0,,0,49,3,486
7,29,4,0,,-2,15,24,417
-8,-2,63,0,,-6,2,41,351
-5,37,29,0,,0,4,11,308
-2,4,33,0,,-4,-30,36,220
-8,-13,61,0,,6,-18,18,84
4,27,3,0,,6,-43,24,0
0,-9,16,0,,10,-45,29,0
0,-27,35,0,,8,-40,19,0
7,-13,10,0,,11,-49,27,0
2,-49,26,73,,10,-23,27,0
11,-40,28,188,,5,-27,23,0
8,-43,14,279,,8,-30,54,0
8,-58,33,341,,0,24,12,0
9,-12,18,396,,0,4,23,0
4,-3,,,,1,-9,48,0
5,35,428,,,-6,44,15,0
-1,14,32,483,,-5,25,22,0
0,-1,28,541,,-3,4,,
-5,30,39,558,,,41,0,
-7,54,5,504,,-7,18,20,0
-3,-13,60,430,,-4,-12,25,0
-7,44,10,356,,-1,-16,31,0
-2,-23,36,312,,3,-23,13,0
-4,-8,25,217,,7,-51,29,46
2,-27,17,64,,3,-31,20,160
6,-43,34,0,,12,-54,25,261
-2,-29,22,0,,6,-34,29,337
13,-51,22,0,,5,-30,20,401
3,-28,33,0,,10,-37,43,433
3,-6,5,0,,-3,7,20,476
7,-28,15,0,,1,0,45,532
-2,-16,49,0,,-9,21,28,453
1,11,19,0,,-9,18,44,430
2,-10,48,0,,-9,18,44,412
-12,39,21,0,,-8,14,27,378
-2,7,45,0,,0,8,14,333
-2,11,44,0,,-12,-19,41,272
-12,30,21,0,,0,-13,11,110
-6,4,31,0,,-3,-48,33,0
-4,-2,26,0,,10,-25,15,0
-12,0,19,0,,10,-43,23,0
6,-36,28,0,,2,-39,30,0
5,-33,28,53,,5,-20,16,0
0,-29,16,161,,5,-33,34,0
11,-53,34,253,,3,-3,36,0
3,-,,,,3,15,27,0
23,15,327,,,-4,-3,40,0
13,-37,38,386,,-10,7,46,0
-2,-8,21,424,,-2,37,16,0
4,-10,44,476,,-6,8,40,0
-3,20,26,544,,-9,30,2,
-6,12,31,561,,4,0,,
-2,25,30,500,,-2,34,11,0
-10,16,36,430,,-10,-17,42,0
0,17,26,358,,3,1,12,0
-8,-5,30,308,,4,-21,22,0
6,-15,21,236,,-3,-30,27,29
-1,-26,25,78,,12,-37,21,141
1,-35,24,0,,3,-51,31,242
12,-42,23,0,,10,-34,22,313
5,-45,29,0,,9,-33,27,385
11,-42,25,0,,6,-23,34,416
11,-35,24,0,,2,0,21,462
6,-21,35,0,,-4,-5,51,529
13,-6,21,0,,1,24,27,569
-2,-15,47,0,,-6,6,36,550
3,31,16,0,,-5,33,28,478
6,26,8,0,,-2,6,31,412
-5,0,47,0,,-9,-15,54,344
-4,37,21,0,,4,18,6,301
2,34,4,0,,-3,-33,36,198
-9,-11,54,0,,7,-24,16,57
-2,10,24,0,,5,-45,25,0
1,-18,22,0,,8,-48,29,0
0,-27,28,0,,8,-43,21,0
9,-21,12,18,,8,-45,28,0
2,-50,26,123,,8,-41,39,0
10,-45,27,237,,4,-12,9,0
9,-39,16,317,,7,-23,30,0
8,-39,42,376,,-1,13,36,0
7,-8,16,411,,-1,26,8,0
6,-32,40,451,,0,-4,55,0
-3,24,26,507,,-4,44,11,0
-2,-2,37,557,,-2,17,25,0
-6,38,32,533,,-4,,,
-5,6,32,469,,,-7,50,0
-7,-10,58,396,,-2,27,20,0
-5,35,9,,,-2,-24,27,0
330,,,,,2,-28,36,0
-2,-30,39,281,,3,-10,10,0
0,-9,19,163,,2,-37,18,51
1,-37,19,21,,10,-44,34,170
7,-49,31,0,,6,-37,10,266
1,-31,20,0,,10,-54,40,341
10,-54,27,0,,1,-15,8,403
6,-50,41,0,,10,-31,49,432
0,-9,4,0,,-5,13,18,483
8,-31,25,0,,1,-1,44,544
-5,2,40,0,,0,26,30,574
-7,24,14,0,,-9,17,41,528
1,-6,50,0,,-4,24,25,450
-7,22,38,0,,-14,11,34,374
-7,24,30,0,,5,-1,22,327
-2,4,47,0,,-2,-12,28,257
-10,36,23,0,,-3,-16,24,93
-3,-8,32,0,,8,-35,23,0
2,-23,22,0,,0,-36,24,0
9,-37,26,0,,13,-33,19,0
9,-37,26,0,,7,-46,33,0
8,-33,30,72,,4,-20,19,0
3,-32,17,176,,12,-20,26,0
10,-52,34,264,,-5,-18,38,0
3,-21,13,340,,2,16,27,0
10,-31,23,391,,3,13,26,0
0,,,,,-12,12,46,0
-16,35,432,,,-5,38,26,0
2,-4,32,480,,-7,7,38,0
1,14,31,543,,-14,6,46,0
-7,14,35,557,,2,25,15,0
-1,17,38,502,,0,-5,34,0
-7,23,31,429,,-8,-8,25,0
-6,10,31,364,,6,-24,20,0
-1,2,25,303,,-1,-38,2,
0,-18,26,244,,9,42,,
6,-24,22,99,,12,-28,18,154
-2,-33,25,0,,5,-48,32,248
15,-40,22,0,,8,-33,23,315
5,-47,25,0,,8,-31,25,385
7,-45,29,0,,7,-18,38,422
16,-28,21,0,,9,0,29,461
-2,-33,36,0,,-4,-5,40,531
8,-15,34,0,,2,25,24,568
2,-1,24,0,,-7,10,37,544
-5,-11,50,0,,-8,8,51,475
5,36,13,0,,0,31,14,408
-7,0,49,0,,-11,-11,45,339
-8,8,52,0,,4,4,8,297
-1,33,16,0,,2,-16,21,206
-4,-3,43,0,,2,-32,30,55
0,3,20,0,,9,-36,20,0
5,0,10,0,,8,-47,26,0
1,-23,24,0,,10,-52,30,0
2,-33,25,0,,13,-32,14,0
12,-29,16,93,,8,-38,42,0
5,-48,25,200,,9,-17,27,0
8,-47,29,282,,6,-15,34,0
8,-35,14,353,,2,-11,56,0
7,-34,43,394,,1,26,6,0
,,,,,-1,4,32,0
,,,,,-4,32,35,0
4,-3,9,432,,-2,40,11,0
5,-24,49,478,,,,,
-3,32,18,537,,,,,
-5,0,44,557,,-6,-7,48,0
-5,38,25,500,,-3,11,33,0
-6,5,40,438,,-6,-6,17,0
-7,-1,50,374,,3,-25,34,0
-3,16,12,309,,4,-17,22,0
0,-26,34,241,,1,-43,19,56
0,-19,20,96,,9,-43,30,165
2,-37,19,0,,4,-38,18,264
8,-43,29,0,,11,-53,26,334
2,-36,22,0,,8,-19,23,404
9,-34,11,0,,5,-30,33,428
8,-40,40,0,,0,9,28,474
3,-15,26,0,,-3,-2,38,540
9,-27,36,0,,0,8,44,571
-8,14,33,0,,-8,34,26,536
-4,25,11,0,,-7,9,39,470
-2,1,51,0,,-6,25,24,396
-8,40,19,0,,-13,1,36,343
-6,16,37,0,,2,-3,23,284
-6,4,47,0,,-5,-23,28,157
-11,31,19,0,,5,-26,15,20
0,-15,31,0,,-1,-46,30,0
0,-15,30,0,,3,-39,28,0
-4,-12,20,0,,12,-40,25,0
8,-40,27,40,,-2,-31,27,0
4,-37,29,129,,3,-20,23,0
7,-35,16,243,,2,-19,33,0
9,-47,36,304,,-3,7,39,0
2,-18,14,376,,2,19,27,0
10,-31,,,,4,17,24,
42,409,,,,0,,,
-2,6,23,460,,-13,17,45,0
1,1,34,512,,0,31,19,0
-1,18,30,561,,-8,10,39,0
-8,18,36,541,,-9,22,25,0
-2,22,27,458,,4,17,16,0
-8,20,29,393,,-12,-22,35,0
-2,8,29,332,,8,-12,13,0
-4,-7,26,281,,10,-29,22,37
2,-19,23,175,,-1,-35,27,141
6,-32,23,32,,12,-44,23,246
-2,-39,27,0,,3,-40,28,317
17,-39,21,0,,16,-24,24,385
5,-48,30,0,,-1,-26,34,427
7,-40,28,0,,5,8,29,465
14,-25,19,0,,0,13,20,533
1,-26,40,0,,-4,1,47,566
11,-2,34,0,,-3,36,15,542
0,0,31,0,,-8,4,49,472
-6,-9,51,0,,-5,19,29,400
5,40,10,0,,-4,4,31,343
-1,23,20,0,,-2,-7,24,291
-8,11,46,0,,4,-17,20,187
-1,35,14,0,,4,-40,29,42
-6,-11,43,0,,9,-39,24,0
1,-2,17,0,,7,-38,18,0
6,-6,11,0,,8,-56,35,0
0,-42,31,0,,11,-35,22,0
5,-38,27,64,,6,-37,29,0
6,-36,15,170,,8,-12,28,0
8,-60,35,267,,4,4,10,0
11,-21,10,343,,3,-11,38,0
4,-50,43,393,,0,19,27,0
,,,,,3,31,7,0
5,9,12,416,,-7,6,58,0
2,1,13,460,,-5,30,31,0
-2,-4,55,517,,,,,
-3,34,8,559,,-4,8,32,0
-7,0,51,533,,-7,-8,47,0
-3,35,21,458,,0,9,13,0
-6,6,40,393,,-4,-14,17,0
-2,8,22,342,,3,-26,33,0
-4,4,15,291,,6,-24,21,25
3,-25,32,178,,3,-46,19,125
2,-27,21,36,,9,-44,29,234
4,-36,18,0,,7,-43,17,314
10,-48,32,0,,11,-33,37,382
4,-34,20,0,,-2,-19,15,428
8,-30,10,0,,6,-8,48,461
7,-35,43,0,,-2,20,23,525
1,-7,12,0,,-5,-4,44,569
8,-20,42,0,,-3,43,24,540
-7,22,26,0,,-11,0,45,469
-3,25,13,0,,0,35,18,400
-4,10,52,0,,-12,-12,36,336
-9,37,28,0,,3,-3,22,276
-8,10,38,0,,0,-13,20,154
-7,24,27,0,,-4,-32,24,7
-9,20,19,0,,10,-36,23,0
1,-19,32,0,,2,-43,29,0
0,-17,30,0,,10,-32,20,0
-1,-17,18,0,,5,-36,31,0
9,-44,29,94,,5,-17,24,0
3,-40,32,186,,15,-9,28,0
10,-36,16,282,,-7,-6,41,0
7,-40,39,349,,-4,9,38,0
2,-16,13,399,,-1,20,,
6,-24,47,433,,25,0,,
-1,13,23,492,,-14,8,43,0
2,,,,,0,35,24,0
,8,40,542,,1,29,20,0
-7,24,30,555,,-18,6,43,0
-5,16,36,500,,6,8,15,0
-5,23,27,414,,-5,-18,30,0
-9,7,32,363,,-2,-14,22,0
3,0,30,309,,12,-17,11,25
-7,-11,24,241,,-5,-43,33,125
5,-25,22,99,,15,-36,20,236
4,-39,25,0,,4,-44,29,313
0,-40,26,0,,11,-27,26,379
16,-44,23,0,,2,-21,26,420
4,-43,31,0,,5,-8,42,454
7,-33,26,0,,2,14,25,524
12,-26,23,0,,-4,0,40,567
4,-17,41,0,,-1,33,27,553
8,8,31,0,,-6,14,35,475
3,15,19,0,,-4,15,31,403
-7,-3,49,0,,2,26,14,346
0,26,32,0,,-7,-19,35,292
-3,15,27,0,,6,-8,18,190
-6,14,40,0,,0,-39,27,48
1,32,13,0,,11,-42,25,0
-8,-20,39,0,,14,-22,20,0
-3,-20,32,0,,14,-22,20,0
8,-12,14,0,,10,-18,4,0
0,-48,31,14,,10,-18,4,0
9,-41,29,114,,7,-37,51,0
6,-39,13,226,,5,15,7,0
8,,,,,0,-10,42,0
-61,39,300,,,-2,-12,60,0
11,-13,7,370,,0,38,6,0
3,-49,52,403,,-6,2,55,0
2,21,6,441,,-2,26,2,
0,2,17,484,,7,0,,
0,5,50,531,,-5,8,36,0
-2,51,8,556,,-6,-10,46,0
-7,-5,55,507,,-2,0,14,0
-5,36,17,432,,-1,-16,17,0
-8,3,36,367,,4,-33,30,0
