x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
67,41,8,,0,66,40,
21,55,8,16,3,94,-6,45
12,44,4,8,32,48,23,-2
17,51,9,7,49,,36,21
15,,1,19,1,363,-24,16
15,42,0,5,54,30,13,19
19,31,,13,15,62,,14
13,30,3,-2,39,19,0,1
17,19,0,10,20,35,-33,14
17,34,9,5,19,63,41,-14
17,13,13,-7,34,13,21,16
4,17,-2,1,1,63,-8,-14
14,14,0,-10,32,0,28,4
3,20,-4,7,-13,63,-16,5
15,16,-24,-5,41,-5,14,2
1,13,-25,-2,-24,39,-9,19
4,19,-46,-17,15,27,-5,-11
7,14,-40,-20,1,16,19,21
3,19,-40,-41,10,48,-47,-15
17,17,-42,-42,41,-4,8,-42
7,11,-34,-42,-16,40,-41,-42
5,9,-38,-49,38,-2,8,-25
2,3,-35,-38,20,-15,-22,-9
-23,11,-42,-40,-16,36,3,-24
-20,4,-36,-35,16,-21,4,12
-27,6,-37,-38,-24,1,9,-27
-46,7,-31,-38,2,21,25,12
-41,1,-34,-39,-25,-24,9,-3
-53,8,-26,-34,-19,29,53,20
-38,14,-32,-27,-19,36,13,43
-45,6,-25,-30,-23,-19,50,-3
-,6,-21,-20,,43,33,61
35,-13,-16,-24,9,-30,57,42
-29,-15,-6,-28,-32,29,51,
-38,-28,-8,,12,-31,58,19
-30,-37,10,-14,-11,,64,58
-35,33,1,-19,22,366,37,34
-30,-43,19,2,13,-41,89,77
-36,-45,0,-4,19,-5,,41
-29,-42,25,3,32,-34,74,68
-36,-41,16,11,24,-8,56,58
-21,-38,29,12,62,-36,95,64
-10,-33,39,32,59,17,56,74
-10,-38,37,23,59,-17,94,47
-17,-28,50,38,38,34,103,99
2,-36,39,36,76,-8,49,56
4,-40,50,42,50,5,100,96
0,-24,54,45,69,42,67,56
18,-36,39,37,56,13,63,86
11,-32,48,49,72,47,71,57
26,-25,27,36,92,25,42,32
35,-25,20,48,54,52,84,94
31,-14,34,33,74,72,22,22
51,-15,17,23,90,30,73,49
50,-5,19,35,60,77,18,59
41,4,14,12,95,62,-1,32
53,-5,19,16,58,49,72,56
44,7,14,26,44,84,-5,27
48,13,11,9,94,44,61,41
52,11,14,19,63,47,-9,55
30,32,11,11,49,95,50,5
39,31,16,14,66,51,3,48
30,35,11,19,23,92,31,42
20,52,14,5,,75,13,9
65,40,6,18,0,81,15,38
22,57,12,14,21,76,21,7
12,43,1,,9,61,-2,
14,,9,,69,,40,
10,52,3,10,-6,78,-24,32
13,36,-5,14,33,39,-14,5
19,39,8,5,40,78,26,-1
12,26,-3,13,14,19,-25,31
21,17,13,4,43,75,,-9
16,16,-51,7,0,3,0,26
18,12,9,3,51,31,-4,-16
4,14,-7,-5,-15,44,15,17
17,11,3,1,44,18,40,-17
3,18,-10,-7,-19,45,-25,13
13,16,-19,6,45,12,28,-3
2,19,-30,-4,-22,48,-30,-15
9,20,-43,0,33,7,13,31
4,16,-37,-6,-17,37,12,-18
2,17,-46,-21,-16,15,-44,29
18,16,-36,-27,37,-2,10,-26
2,8,-38,-39,-15,38,-48,14
0,8,-32,-38,22,-11,18,-32
-5,4,-36,-47,1,0,-38,-2
-16,11,-35,-39,-28,30,24,7
-19,3,-37,-37,27,-17,-15,-43
-31,7,-27,-32,-35,14,42,16
-42,5,-32,-36,11,0,-9,-33
-42,1,-21,-37,-42,-29,61,26
-47,12,-33,-37,-6,42,2,-16
-37,13,-33,-36,-1,22,28,-7
-42,3,-16,-28,-42,-7,53,36
,3,-23,-28,,32,36,
-31,-16,-3,2,13,-23,68,0
-31,-17,-13,-25,-35,30,38,48
-31,-32,14,-26,21,-36,80,24
-32,-37,8,-26,-17,19,50,42
-30,-45,9,-13,36,-50,74,44
-31,,,-16,-1,,,50
-32,-40,23,0,36,3,88,64
-33,-41,17,-7,19,-45,41,31
-33,-35,20,8,38,5,76,80
-23,-39,43,8,57,-27,78,46
-26,-38,38,17,19,7,48,81
-15,-39,43,29,67,-7,106,91
-17,-36,46,20,32,18,51,46
-2,-34,36,45,74,10,57,102
1,-39,55,32,42,-3,94,48
5,-25,42,46,80,48,40,107
17,-35,45,41,48,8,95,43
11,-38,44,43,51,25,43,100
34,-23,22,45,89,46,62,42
32,-27,36,31,57,32,88,41
35,-11,26,51,87,64,11,83
50,-12,22,27,76,36,86,29
43,-12,18,23,54,65,-4,65
48,1,15,33,100,50,69,41
51,-5,16,12,45,37,3,41
41,13,11,26,55,88,52,43
50,15,17,18,86,63,14,16
34,13,8,11,31,63,24,50
3,25,15,16,,97,27,21
2,35,14,4,65,49,-16,4
35,42,13,15,45,106,56,49
9,50,11,9,48,59,-15,0
30,44,7,0,84,96,41,
20,55,9,7,0,58,-7,22
11,42,4,19,26,75,23,29
16,50,6,8,53,61,-2,0
8,32,0,16,7,51,-29,35
15,75,7,11,57,,,-1
17,38,,10,14,63,37,32
15,22,4,10,36,29,4,-2
16,26,-3,1,22,68,-6,19
17,12,10,9,18,8,22,21
16,9,-5,-3,36,50,-13,-16
4,13,-5,1,-5,23,-13,18
16,10,-19,-6,38,38,-22,-19
3,17,-23,-3,-19,25,13,16
16,11,-18,2,47,27,29,-12
2,17,-35,-4,-30,54,-35,24
14,21,-37,-1,42,5,22,-5
2,16,-41,-25,-27,42,-48,13
