x 2 fases 1 ,x desnível 5 ,i 2 fases 1,i desnível 5,x 2 Fases 2,i 2 Fases 2
3,-8,0,282,-9,0
10,0,0,344,1,0
1,-6,0,373,1,0
-4,-2,0,381,0,0
6,-5,0,376,7,76
0,-5,0,373,3,177
-8,-4,0,354,7,271
0,-6,0,284,8,340
-7,0,0,222,2,392
-9,-6,0,152,7,423
5,-3,0,81,0,471
0,-5,0,14,0,531
3,-6,50,0,-2,566
11,0,152,0,-8,537
2,-2,252,0,-3,454
10,-5,320,0,-11,387
9,-2,418,0,-2,320
7,-4,466,0,-3,258
-25,-4,520,0,1,122
5,0,562,0,3,0
-2,-4,540,0,6,0
4,-3,459,0,6,0
-6,-3,401,0,8,0
-5,-3,327,0,8,0
-6,-3,286,,5,0
-6,,175,,6,0
-3,-3,36,0,-3,
0,-1,0,0,,
5,-4,0,0,2,0
0,0,0,2,-4,0
7,-2,0,70,-6,0
8,-3,0,122,-6,0
6,-1,0,175,-7,0
7,-3,0,261,-5,0
0,2,0,324,-4,0
4,-6,0,367,0,0
-4,-4,0,376,0,0
-2,-1,0,382,3,8
-4,-5,0,376,8,101
-8,2,0,374,10,217
-7,-5,0,331,6,293
-7,-4,0,253,8,363
-9,-5,0,178,8,404
0,-5,0,105,3,447
-5,-3,48,33,3,494
-3,-4,161,0,0,542
6,1,258,0,-4,549
0,-9,334,0,-3,492
8,1,420,0,-4,421
7,2,469,0,-3,368
3,-9,519,0,-3,308
9,2,557,0,-4,219
-1,-4,514,0,9,86
1,-6,448,0,1,0
-2,4,381,0,13,0
-6,-10,322,0,8,0
-2,-1,261,0,7,0
-9,-8,105,,13,0
-3,40,0,,4,0
-5,-9,0,0,5,0
4,2,0,0,3,
4,-7,0,0,8,
9,-7,0,8,-3,0
16,2,0,81,-5,0
5,-9,0,123,0,0
9,1,0,176,-4,0
12,-8,0,257,-6,0
