normal,2fase,desb,inc,i normal,i 2 fase,i desb ,i inc
-7,-7,14,-8,32,241,0,0
8,5,3,1,99,99,0,64
-6,4,9,-9,136,0,0,120
4,0,4,1,192,0,0,166
-1,16,10,0,269,0,0,244
0,4,4,-7,328,0,0,309
2,7,0,-1,358,0,0,357
-8,12,15,-7,373,0,10,374
9,4,6,2,376,0,89,379
-8,8,4,-8,368,0,128,375
7,3,-1,-2,363,0,180,368
-5,-7,-21,-8,318,0,262,316
4,0,-21,-2,241,0,333,240
11,-3,-36,-6,174,0,365,164
-9,-6,-37,-6,100,0,374,91
10,1,-47,-1,22,0,0,8
-8,-8,-43,-8,0,0,0,0
10,-3,-40,-8,0,0,366,0
-5,8,-40,0,0,0,331,0
-6,0,-31,-4,0,14,247,0
8,9,-45,-7,0,114,161,0
-1,6,-37,-3,0,226,93,0
3,8,-40,-6,0,0,8,0
9,-61,-29,-5,0,0,0,0
-4,11,-35,0,0,370,0,0
-2,3,-32,-5,0,403,0,0
7,2,-24,-5,0,441,0,0
-3,0,-36,-8,0,484,0,0
6,0,-33,-8,0,531,0,0
5,-2,-22,-2,0,556,0,0
-2,-7,-29,-3,0,507,0,0
-4,-5,-19,-8,0,432,0,0
8,-8,-14,-4,0,367,0,0
3,-4,-6,-5,0,312,0,0
1,-5,4,-7,49,248,0,40
9,3,-6,-2,102,99,0,102
-3,5,3,-7,148,0,0,151
9,9,15,-2,211,0,0,225
-2,9,12,-6,281,0,0,305
7,6,29,-1,343,0,5,356
-3,7,33,-5,362,0,72,374
-3,6,44,1,374,0,117,378
9,-2,48,-1,373,0,182,375
-7,4,40,-6,367,0,265,373
10,-4,57,-1,356,0,331,349
-8,-5,44,-6,304,0,363,267
-2,-6,51,0,228,0,375,204
4,-7,40,-4,164,0,0,0
-4,-8,2,0,90,0,0,0
7,-5,38,2,0,0,369,65
11,-8,28,-5,0,0,363,0
11,-6,12,-4,0,0,298,0
-4,0,20,-3,0,0,232,0
-9,1,12,-4,0,15,157,0
11,5,14,1,0,121,74,0
1,3,12,0,0,216,1,0
0,8,22,-5,0,300,0,0
9,8,16,-3,0,364,0,0
-6,5,15,-4,0,0,0,0
4,15,23,-2,0,0,0,0
7,1,14,3,0,445,0,0
-7,-5,18,-7,0,510,0,0
1,0,16,1,0,552,0,0
5,-8,7,-3,0,545,0,0
-1,-4,13,-5,0,482,0,0
-9,-3,4,1,0,398,0,0
7,-10,11,-9,0,341,0,0
-8,4,8,-2,0,278,0,51
-6,-5,5,3,51,171,0,110
7,8,10,-8,109,32,0,153
-8,2,3,2,148,0,0,223
3,3,2,-9,211,0,0,306
0,11,15,0,285,0,51,353
2,6,5,-6,343,0,108,375
